 | V:  48.01000 | I:  13.75000 | Tank:  26.01000 | | Add_Tank:  50.00000 |
 | V:  48.01000 | I:  13.75000 | Tank:  26.01000 | | Add_Tank:  50.00000 |
 | V:  48.00000 | I:  13.79000 | Tank:  26.00000 | | Add_Tank:  50.00000 |
 | V:  47.99000 | I:  13.83000 | Tank:  25.99000 | | Add_Tank:  50.00000 |
 | V:  47.98000 | I:  13.75000 | Tank:  25.98000 | | Add_Tank:  50.00000 |
 | V:  47.98000 | I:  13.83000 | Tank:  25.97000 | | Add_Tank:  50.00000 |
 | V:  47.98000 | I:  13.75000 | Tank:  25.96000 | | Add_Tank:  50.00000 |
 | V:  47.97000 | I:  13.79000 | Tank:  25.96000 | | Add_Tank:  50.00000 |
 | V:  47.96000 | I:  13.75000 | Tank:  25.95000 | | Add_Tank:  50.00000 |
 | V:  47.97000 | I:  13.72000 | Tank:  25.94000 | | Add_Tank:  50.00000 |
 | V:  47.96000 | I:  13.72000 | Tank:  25.93000 | | Add_Tank:  50.00000 |
 | V:  47.95000 | I:  13.75000 | Tank:  25.93000 | | Add_Tank:  50.00000 |
 | V:  47.94000 | I:  13.68000 | Tank:  25.92000 | | Add_Tank:  50.00000 |
 | V:  47.94000 | I:  13.75000 | Tank:  25.91000 | | Add_Tank:  50.00000 |
 | V:  47.94000 | I:  13.72000 | Tank:  25.90000 | | Add_Tank:  50.00000 |
 | V:  47.93000 | I:  13.64000 | Tank:  25.89000 | | Add_Tank:  50.00000 |
 | V:  47.92000 | I:  13.64000 | Tank:  25.88000 | | Add_Tank:  50.00000 |
 | V:  47.91000 | I:  13.68000 | Tank:  25.87000 | | Add_Tank:  50.00000 |
 | V:  47.91000 | I:  13.68000 | Tank:  25.87000 | | Add_Tank:  50.00000 |
 | V:  47.91000 | I:  13.68000 | Tank:  25.86000 | | Add_Tank:  50.00000 |
 | V:  47.90000 | I:  13.68000 | Tank:  25.85000 | | Add_Tank:  50.00000 |
 | V:  47.89000 | I:  13.60000 | Tank:  25.84000 | | Add_Tank:  50.00000 |
 | V:  47.89000 | I:  13.64000 | Tank:  25.83000 | | Add_Tank:  50.00000 |
 | V:  47.88000 | I:  13.68000 | Tank:  25.83000 | | Add_Tank:  50.00000 |
 | V:  47.88000 | I:  13.64000 | Tank:  25.82000 | | Add_Tank:  50.00000 |
 | V:  47.88000 | I:  13.60000 | Tank:  25.81000 | | Add_Tank:  50.00000 |
 | V:  47.88000 | I:  13.60000 | Tank:  25.80000 | | Add_Tank:  50.00000 |
 | V:  47.87000 | I:  13.60000 | Tank:  25.80000 | | Add_Tank:  50.00000 |
 | V:  47.86000 | I:  13.60000 | Tank:  25.79000 | | Add_Tank:  50.00000 |
 | V:  47.86000 | I:  13.57000 | Tank:  25.78000 | | Add_Tank:  50.00000 |
 | V:  47.85000 | I:  13.57000 | Tank:  25.77000 | | Add_Tank:  50.00000 |
 | V:  47.84000 | I:  13.53000 | Tank:  25.76000 | | Add_Tank:  50.00000 |
 | V:  47.84000 | I:  13.53000 | Tank:  25.75000 | | Add_Tank:  50.00000 |
 | V:  47.84000 | I:  13.57000 | Tank:  25.75000 | | Add_Tank:  50.00000 |
 | V:  47.84000 | I:  13.53000 | Tank:  25.74000 | | Add_Tank:  50.00000 |
 | V:  47.83000 | I:  13.45000 | Tank:  25.73000 | | Add_Tank:  50.00000 |
 | V:  47.83000 | I:  13.53000 | Tank:  25.72000 | | Add_Tank:  50.00000 |
 | V:  47.82000 | I:  13.50000 | Tank:  25.72000 | | Add_Tank:  50.00000 |
 | V:  47.81000 | I:  13.53000 | Tank:  25.71000 | | Add_Tank:  50.00000 |
 | V:  47.81000 | I:  13.45000 | Tank:  25.70000 | | Add_Tank:  50.00000 |
 | V:  47.81000 | I:  13.50000 | Tank:  25.69000 | | Add_Tank:  50.00000 |
 | V:  47.80000 | I:  13.45000 | Tank:  25.68000 | | Add_Tank:  50.00000 |
 | V:  47.82000 | I:  11.31000 | Tank:  25.67000 | | Add_Tank:  50.00000 |

