 | V:  48.19700 | I:  13.93700 | P: 671.71802|
 | V:  48.18800 | I:  13.85000 | P: 667.39502|
 | V:  48.18200 | I:  13.86600 | P: 668.10303|
 | V:  48.20000 | I:  13.82500 | P: 666.38501|
 | V:  48.19300 | I:  13.80400 | P: 665.26599|
 | V:  48.18900 | I:  13.83700 | P: 666.77399|
 | V:  48.18500 | I:  13.81800 | P: 665.80103|
 | V:  48.18400 | I:  13.80300 | P: 665.05701|
 | V:  48.19100 | I:  13.72100 | P: 661.23499|
 | V:  48.19800 | I:  13.74200 | P: 662.35101|
 | V:  48.18300 | I:  13.75200 | P: 662.63202|
 | V:  48.18200 | I:  13.73000 | P: 661.51501|
 | V:  48.19000 | I:  13.68100 | P: 659.29401|
 | V:  48.19700 | I:  13.67400 | P: 659.05499|
 | V:  48.18600 | I:  13.69300 | P: 659.81299|
 | V:  48.18700 | I:  13.64200 | P: 657.39600|
 | V:  48.19100 | I:  13.66200 | P: 658.39203|
 | V:  48.18700 | I:  13.66000 | P: 658.21503|
 | V:  48.19200 | I:  13.63800 | P: 657.26300|
 | V:  48.19500 | I:  13.59700 | P: 655.32800|
 | V:  48.18600 | I:  13.62000 | P: 656.27802|
 | V:  47.88600 | I:  13.84400 | P: 662.92999|
 | V:  48.17400 | I:  13.70100 | P: 660.02802|
 | V:  48.19600 | I:  13.59900 | P: 655.42499|
 | V:  48.45400 | I:   7.40400 | P: 358.74399|
 | V:  48.67200 | I:   0.03600 | P:   1.75900|
 | V:  48.52400 | I:   0.03600 | P:   1.76900|
 | V:  48.44600 | I:   0.03700 | P:   1.77200|
 | V:  48.47800 | I:   0.03700 | P:   1.79100|
 | V:  46.41500 | I:   0.02400 | P:   1.13100|
